CisControl,CisTitle,NistCsf,Nist80053,Iso27001,Stig,PciDss,Cmmc,Hipaa,CisaScuba
2.1.2,"Ensure the Common Attachment Types Filter is enabled",DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),MS.EXO.9.1v2;MS.EXO.9.2v1
2.1.3,"Ensure notifications for internal users sending malware is Enabled",DE.CM-09,SI-3a;SI-4(5),A.8.7;A.8.16,,5.2.x;5.3.x,3.14.2;3.14.6,§164.308(a)(5)(ii)(B);§164.308(a)(6)(i),
2.1.4,"Ensure Safe Attachments policy is enabled",DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),MS.EXO.14.1v2
2.1.5,"Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled",DE.CM-09,SI-3a,A.8.7,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),
2.1.6,"Ensure Exchange Online Spam Policies are set to notify administrators",DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.16;A.8.23,,5.2.x;5.4.x,3.14.2;3.14.6,§164.308(a)(5)(ii)(B);§164.308(a)(6)(i),
2.1.7,"Ensure that an anti-phishing policy has been created",DE.CM-09,SI-8,A.8.23,,5.4.x,3.14.5,§164.308(a)(5)(ii)(B),MS.EXO.11.1v1
2.1.8,"Ensure that SPF records are published for all Exchange Domains",PR.DS-02,AC-2d;SI-8,A.5.17;A.8.23,,5.4.x,3.14.5,§164.312(e)(1),MS.EXO.3.1v1
2.1.9,"Ensure that DKIM is enabled for all Exchange Online Domains",PR.DS-02,SC-8,A.8.24,,5.4.x,3.13.8,§164.312(e)(1),MS.EXO.4.1v1
2.1.10,"Ensure DMARC Records for all Exchange Online domains are published",PR.DS-02;DE.CM-09,SI-8;SI-4(5),A.8.23;A.8.16,,5.4.x,3.14.5;3.14.6,§164.312(e)(1),MS.EXO.2.1v2;MS.EXO.2.2v1
2.1.11,"Ensure comprehensive attachment filtering is applied",DE.CM-09,SI-3;CM-6a,A.8.7;A.8.23,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),
2.1.12,"Ensure the connection filter IP allow list is not used",DE.CM-09,AC-4;SI-8,A.8.20;A.8.23,,5.4.x,3.14.5;3.13.1,§164.308(a)(5)(ii)(B),
2.1.13,"Ensure the connection filter safe list is off",DE.CM-09,AC-4;SI-8,A.8.20;A.8.23,,5.4.x,3.14.5;3.13.1,§164.308(a)(5)(ii)(B),
2.1.14,"Ensure inbound anti-spam policies do not contain allowed domains",DE.CM-09,SI-8,A.8.23,,5.4.x,3.14.5,§164.308(a)(5)(ii)(B),
2.1.15,"Ensure outbound anti-spam message limits are in place",DE.CM-09,SI-8;CM-6a,A.8.23;A.8.9,,5.4.x,3.14.5;3.4.2,§164.308(a)(5)(ii)(B),
2.4.1,"Ensure Priority account protection is enabled and configured",PR.AA-05;DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x;5.4.x,3.14.2;3.14.5;3.4.2,§164.308(a)(5)(ii)(B),
2.4.2,"Ensure Priority accounts have 'Strict protection' presets applied",DE.CM-09,CM-6a;SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x;5.4.x,3.14.2;3.14.5;3.4.2,§164.308(a)(5)(ii)(B),
2.4.3,"Ensure Microsoft Defender for Cloud Apps is enabled and configured",DE.CM-09;DE.AE-02,SI-4(5),A.8.16,,5.2.x,3.14.6;3.14.7,§164.308(a)(5)(ii)(B);§164.308(a)(6)(i),
2.4.4,"Ensure Zero-hour auto purge for Microsoft Teams is on",DE.CM-09,SI-3a;SI-8,A.8.7;A.8.23,,5.2.x;5.3.x,3.14.2;3.14.5,§164.308(a)(5)(ii)(B),
3.1.1,"Ensure Microsoft 365 audit log search is Enabled",DE.AE-03,AU-12,A.8.15,,10.2.x;10.3.x,3.3.1;3.3.2,§164.312(b),MS.EXO.16.1v1
3.2.1,"Ensure DLP policies are enabled",PR.DS-01;PR.DS-02,SC-7(10),A.5.12;A.8.12,,3.4.x;3.5.x,3.1.22;3.13.1,§164.312(c)(1);§164.312(e)(1),MS.EXO.8.1v1
3.2.2,"Ensure DLP policies are enabled for Microsoft Teams",PR.DS-01;PR.DS-02,SC-7(10),A.5.12;A.8.12,,3.4.x;3.5.x,3.1.22;3.13.1,§164.312(c)(1);§164.312(e)(1),
3.3.1,"Ensure Information Protection sensitivity label policies are published",PR.DS-01,AC-3;SC-7(10),A.5.12;A.5.13;A.8.12,,3.4.x;3.5.x,3.1.22;3.13.1,§164.312(c)(1),
4.1,"Ensure devices without a compliance policy are marked 'not compliant'",PR.AA-05;ID.AM-01,CM-6;CM-8,A.8.1;A.8.9,,2.2.x,3.4.1;3.4.2,§164.310(b);§164.310(c),
4.2,"Ensure device enrollment for personally owned devices is blocked by default",PR.AA-05,AC-19a;CM-7,A.8.1;A.6.7,,2.2.x,3.1.18;3.1.19;3.4.6,§164.310(b);§164.310(c),
5.1.2.1,"Ensure 'Per-user MFA' is disabled",PR.AA-03,IA-2(1);IA-2(2);CM-6,A.8.5,,8.4.x;2.2.x,3.5.3;3.4.2,§164.312(d),
5.1.2.2,"Ensure third party integrated applications are not allowed",PR.AA-05,AC-6(10);CM-5,A.5.15;A.8.26,,2.2.x,3.1.1;3.4.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.5.4v1
5.1.2.3,"Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'",PR.AA-05,AC-6(10);CM-5,A.5.15;A.8.2,,2.2.x,3.1.5;3.4.5,§164.312(a)(1),
5.1.2.4,"Ensure access to the Entra admin center is restricted",PR.AA-05,AC-6(5);AC-3,A.5.15;A.8.2,,7.2.x;8.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),
5.1.2.5,"Ensure the option to remain signed in is hidden",PR.AA-05,AC-11;AC-12,A.8.1,,8.2.x,3.1.10,§164.312(a)(2)(iii),
5.1.2.6,"Ensure 'LinkedIn account connections' is disabled",PR.AA-05,CM-7,A.8.19,,2.2.x,3.4.6,§164.312(a)(1),
5.1.3.1,"Ensure a dynamic group for guest users is created",PR.AA-01;PR.AA-05,AC-2;AC-6,A.5.16;A.5.18,,7.2.x;8.2.x,3.1.1;3.1.5,§164.312(a)(1);§164.308(a)(4)(i),
5.1.3.2,"Ensure users cannot create security groups",PR.AA-05,AC-6(10);CM-5,A.5.15;A.8.2,,7.2.x,3.1.5;3.4.5,§164.312(a)(1),
5.1.4.1,"Ensure the ability to join devices to Entra is restricted",PR.AA-05,AC-3;CM-7,A.8.1;A.5.15,,2.2.x,3.1.2;3.4.6,§164.310(b);§164.312(a)(1),
5.1.4.2,"Ensure the maximum number of devices per user is limited",ID.AM-01;PR.AA-05,CM-8;AC-19a,A.8.1;A.5.9,,2.2.x,3.4.1;3.1.18,§164.310(b);§164.310(c),
5.1.4.3,"Ensure the GA role is not added as a local administrator during Entra join",PR.AA-05,AC-6(5);CM-6,A.5.15;A.8.2,,8.2.x;2.2.x,3.1.5;3.1.6;3.4.2,§164.312(a)(1),
5.1.4.4,"Ensure local administrator assignment is limited during Entra join",PR.AA-05,AC-6(5);CM-6,A.5.15;A.8.2,,8.2.x;2.2.x,3.1.5;3.1.6;3.4.2,§164.312(a)(1),
5.1.4.5,"Ensure Local Administrator Password Solution is enabled",PR.AA-01,IA-5;CM-6,A.5.17;A.8.5,,8.3.x,3.5.7;3.5.10;3.4.2,§164.308(a)(5)(ii)(D),
5.1.4.6,"Ensure users are restricted from recovering BitLocker keys",PR.AA-05,AC-6;AC-3,A.5.15;A.8.24,,7.2.x,3.1.5;3.1.2,§164.312(a)(1);§164.312(a)(2)(iv),
5.1.5.1,"Ensure user consent to apps accessing company data on their behalf is not allowed",PR.AA-05,AC-6(10);CM-5,A.5.15;A.8.26,,7.2.x;2.2.x,3.1.5;3.4.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.5.1v1
5.1.5.2,"Ensure the admin consent workflow is enabled",PR.AA-05,CM-4;AC-6(10),A.5.15;A.8.9,,7.2.x;2.2.x,3.1.5;3.4.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.5.2v1
5.1.6.1,"Ensure that collaboration invitations are sent to allowed domains only",PR.AA-05,AC-3,A.5.15;A.5.19,,7.2.x,3.1.2;3.1.20,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.8.2v1
5.1.6.2,"Ensure that guest user access is restricted",PR.AA-05,AC-6,A.5.15;A.5.18,V-260342,7.2.x;8.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.8.1v1
5.1.6.3,"Ensure guest user invitations are limited to the Guest Inviter role",PR.AA-05,AC-6(10),A.5.15;A.5.18,,7.2.x;8.2.x,3.1.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.8.3v1
5.1.8.1,"Ensure that password hash sync is enabled for hybrid deployments",PR.AA-01;PR.AA-03,IA-5,A.5.17;A.8.5,,8.3.x,3.5.7;3.5.8,§164.312(d);§164.308(a)(5)(ii)(D),
5.2.2.1,"Ensure multifactor authentication is enabled for all users in administrative roles",PR.AA-03,IA-2(1);IA-2(2),A.8.5,V-260337,8.4.1;8.4.2,3.5.3,§164.312(d),MS.AAD.3.1v1
5.2.2.2,"Ensure multifactor authentication is enabled for all users",PR.AA-03,IA-2(1);IA-2(2),A.8.5,V-260337,8.4.1;8.4.2;8.3.1,3.5.3,§164.312(d),MS.AAD.3.2v1;MS.AAD.3.3v1
5.2.2.3,"Enable Conditional Access policies to block legacy authentication",PR.AA-03,CM-7,A.8.5;A.8.20,V-260338,2.2.x;8.2.x,3.4.6;3.5.2,§164.312(d);§164.312(a)(1),MS.AAD.1.1v1
5.2.2.4,"Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users",PR.AA-05,AC-11;AC-12,A.8.1;A.8.5,,8.2.x,3.1.10,§164.312(a)(2)(iii);§164.312(d),MS.AAD.7.6v1
5.2.2.5,"Ensure 'Phishing-resistant MFA strength' is required for Administrators",PR.AA-03,IA-2(1);IA-5c;IA-5g;IA-2(8),A.8.5,V-260339,8.4.1;8.4.2,3.5.3,§164.312(d),MS.AAD.3.1v1
5.2.2.6,"Enable Identity Protection user risk policies",DE.CM-01;PR.AA-03,AC-2(12);AC-2(13),A.8.5;A.8.16,V-260341,8.2.x,3.1.1;3.5.2,§164.312(d);§164.308(a)(1)(ii)(A),MS.AAD.2.1v1
5.2.2.7,"Enable Identity Protection sign-in risk policies",DE.CM-01;PR.AA-03,AC-2(12);AC-2(13),A.8.5;A.8.16,V-260340,8.2.x,3.1.1;3.5.2,§164.312(d);§164.308(a)(1)(ii)(A),MS.AAD.2.3v1
5.2.2.8,"Ensure 'sign-in risk' is blocked for medium and high risk",DE.CM-01;PR.AA-03,AC-2(12);AC-2(13),A.8.5;A.8.16,V-260340,8.2.x,3.1.1;3.5.2,§164.312(d);§164.308(a)(1)(ii)(A),MS.AAD.2.3v1
5.2.2.9,"Ensure a managed device is required for authentication",PR.AA-03;PR.AA-05,AC-20b;IA-3,A.8.1;A.8.5,,8.2.x;2.2.x,3.1.18;3.1.19;3.5.1,§164.312(d);§164.310(b),MS.AAD.3.6v1
5.2.2.10,"Ensure a managed device is required to register security information",PR.AA-03;PR.AA-05,AC-20b;IA-3,A.8.1;A.8.5,,8.2.x;2.2.x,3.1.18;3.1.19;3.5.1,§164.312(d);§164.310(b),MS.AAD.3.7v1
5.2.2.11,"Ensure sign-in frequency for Intune Enrollment is set to 'Every time'",PR.AA-03;PR.AA-05,AC-11;IA-2(1),A.8.1;A.8.5,,8.2.x,3.1.10;3.5.3,§164.312(d);§164.312(a)(2)(iii),MS.AAD.3.8v1
5.2.2.12,"Ensure the device code sign-in flow is blocked",PR.AA-03,CM-7,A.8.5;A.8.20,,2.2.x;8.2.x,3.4.6;3.5.2,§164.312(d);§164.312(a)(1),
5.2.3.1,"Ensure Microsoft Authenticator is configured to protect against MFA fatigue",PR.AA-03,IA-2(1);IA-2(2);IA-5c;IA-5g;IA-2(8);IA-2(13),A.8.5,,8.4.x,3.5.3,§164.312(d),MS.AAD.3.5v1
5.2.3.2,"Ensure custom banned passwords lists are used",PR.AA-01,IA-5(1),A.5.17,,8.3.x,3.5.7,§164.308(a)(5)(ii)(D),
5.2.3.3,"Ensure password protection is enabled for on-prem Active Directory",PR.AA-01,IA-5(1),A.5.17,,8.3.x,3.5.7,§164.308(a)(5)(ii)(D),
5.2.3.4,"Ensure all member users are 'MFA capable'",PR.AA-03,IA-2(1);IA-2(2),A.8.5,,8.4.1;8.4.2,3.5.3,§164.312(d),
5.2.3.5,"Ensure weak authentication methods are disabled",PR.AA-03,CM-7b;IA-5c,A.8.5;A.8.20,,8.2.x;2.2.x,3.4.6;3.5.2,§164.312(d),MS.AAD.3.4v1
5.2.3.6,"Ensure system-preferred multifactor authentication is enabled",PR.AA-03,IA-2(1);IA-2(2),A.8.5,,8.4.x,3.5.3,§164.312(d),
5.2.3.7,"Ensure the email OTP authentication method is disabled",PR.AA-03,CM-7;IA-5c,A.8.5;A.8.20,,8.2.x;2.2.x,3.4.6;3.5.2,§164.312(d),
5.2.4.1,"Ensure 'Self service password reset enabled' is set to 'All'",PR.AA-01,IA-5(1),A.5.17,,8.3.x,3.5.7;3.5.8,§164.308(a)(5)(ii)(D),
5.3.1,"Ensure 'Privileged Identity Management' is used to manage roles",PR.AA-05,AC-2;AC-6(1),A.5.15;A.5.18;A.8.2,V-260336,7.2.x;8.2.x,3.1.1;3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.5v1;MS.AAD.7.7v1
5.3.2,"Ensure 'Access reviews' for Guest Users are configured",PR.AA-05,AC-2(3);AC-2(1),A.5.15;A.5.18,,7.2.x;8.2.x,3.1.1;3.1.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.3v1
5.3.3,"Ensure 'Access reviews' for privileged roles are configured",PR.AA-05,AC-2(3);AC-2(1),A.5.15;A.5.18;A.8.2,,7.2.x;8.2.x,3.1.1;3.1.5,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.3v1
5.3.4,"Ensure approval is required for Global Administrator role activation",PR.AA-05,AC-6(1),A.5.15;A.8.2,,7.2.x;8.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.8v1
5.3.5,"Ensure approval is required for Privileged Role Administrator activation",PR.AA-05,AC-6(1),A.5.15;A.8.2,,7.2.x;8.2.x,3.1.5;3.1.6,§164.312(a)(1);§164.308(a)(4)(i),MS.AAD.7.9v1
6.1.1,"Ensure 'AuditDisabled' organizationally is set to 'False'",DE.AE-03,AU-12;AU-12c,A.8.15,,10.2.x;10.3.x,3.3.1;3.3.2,§164.312(b),MS.EXO.16.1v1
6.1.2,"Ensure mailbox audit actions are configured",DE.AE-03,AU-12;AU-12c,A.8.15,,10.2.x;10.3.x,3.3.1;3.3.2,§164.312(b),MS.EXO.17.1v1;MS.EXO.17.2v1
6.1.3,"Ensure 'AuditBypassEnabled' is not enabled on mailboxes",DE.AE-03,AU-12;AU-12c,A.8.15,,10.2.x;10.3.x,3.3.1;3.3.2,§164.312(b),MS.EXO.17.3v1
6.2.1,"Ensure all forms of mail forwarding are blocked and/or disabled",PR.DS-02,AC-4,A.8.20;A.5.14,,5.4.x;10.2.x,3.1.22;3.13.1,§164.312(e)(1);§164.312(b),MS.EXO.1.1v1
6.2.2,"Ensure mail transport rules do not whitelist specific domains",DE.CM-09,SI-8,A.8.23,,5.4.x,3.14.5,§164.308(a)(5)(ii)(B),
6.2.3,"Ensure email from external senders is identified",DE.CM-09,SI-8,A.8.23,,5.4.x,3.14.5;3.2.1,§164.308(a)(5)(i),MS.EXO.7.1v1
6.3.1,"Ensure users installing Outlook add-ins is not allowed",PR.AA-05,CM-11;CM-7,A.8.19;A.8.26,,2.2.x,3.4.9;3.4.6,§164.312(a)(1),
6.5.1,"Ensure modern authentication for Exchange Online is enabled",PR.AA-03,CM-7,A.8.5;A.8.20,,2.2.x;8.2.x,3.4.6;3.5.2,§164.312(d);§164.312(a)(1),
6.5.2,"Ensure MailTips are enabled for end users",PR.AT-01,AT-2b,A.6.3,,,,§164.308(a)(5)(i),
6.5.3,"Ensure additional storage providers are restricted in Outlook on the web",PR.DS-01,CM-7;SC-7(10),A.8.19;A.8.26,,2.2.x,3.4.6;3.13.1,§164.312(a)(1),
6.5.4,"Ensure SMTP AUTH is disabled",PR.AA-03,CM-7,A.8.5;A.8.20,,2.2.x;8.2.x,3.4.6;3.5.2,§164.312(d);§164.312(a)(1),MS.EXO.5.1v1
7.2.1,"Ensure modern authentication for SharePoint applications is required",PR.AA-03,CM-7;IA-8,A.8.5;A.8.20,,2.2.x;8.2.x,3.4.6;3.5.2,§164.312(d);§164.312(a)(1),
7.2.2,"Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled",PR.AA-03;PR.AA-05,AC-2;IA-8,A.5.16;A.8.5,,7.2.x;8.2.x,3.1.1;3.5.1,§164.312(a)(1);§164.312(d),
7.2.3,"Ensure external content sharing is restricted",PR.AA-05;PR.DS-01,AC-2;AC-3;IA-8,A.5.15;A.5.18;A.8.3,,7.2.x;2.2.x,3.1.2;3.1.22,§164.312(a)(1),
7.2.4,"Ensure OneDrive content sharing is restricted",PR.AA-05;PR.DS-01,AC-2;AC-3;IA-8,A.5.15;A.5.18;A.8.3,,7.2.x;2.2.x,3.1.2;3.1.22,§164.312(a)(1),
7.2.5,"Ensure that SharePoint guest users cannot share items they don't own",PR.AA-05,AC-3;AC-6(10),A.5.15;A.8.3,,7.2.x,3.1.2;3.1.5,§164.312(a)(1),
7.2.6,"Ensure SharePoint external sharing is managed through domain whitelist/blacklists",PR.AA-05,AC-3;AC-6(10),A.5.15;A.5.19,,7.2.x;2.2.x,3.1.2;3.1.20,§164.312(a)(1),
7.2.7,"Ensure link sharing is restricted in SharePoint and OneDrive",PR.AA-05,AC-6,A.5.15,,7.2.x,3.1.5;3.1.22,§164.312(a)(1),
7.2.8,"Ensure external sharing is restricted by security group",PR.AA-05,AC-3;AC-6(10),A.5.15;A.8.3,,7.2.x,3.1.2;3.1.5,§164.312(a)(1),
7.2.9,"Ensure guest access to a site or OneDrive will expire automatically",PR.AA-05,AC-3;AC-21b,A.5.15;A.5.18,,7.2.x,3.1.1;3.1.20,§164.312(a)(1),
7.2.10,"Ensure reauthentication with verification code is restricted",PR.AA-03,IA-11,A.8.5,,8.2.x,3.5.1;3.5.2,§164.312(d),
7.2.11,"Ensure the SharePoint default sharing link permission is set",PR.AA-05,AC-6,A.5.15,,7.2.x,3.1.5;3.1.22,§164.312(a)(1),
7.3.1,"Ensure Office 365 SharePoint infected files are disallowed for download",DE.CM-09,SI-3a,A.8.7,,5.2.x;5.3.x,3.14.2,§164.308(a)(5)(ii)(B),
7.3.2,"Ensure OneDrive sync is restricted for unmanaged devices",PR.AA-05,AC-19a;CM-7,A.6.7;A.8.1,,2.2.x,3.1.18;3.1.19;3.4.6,§164.310(b);§164.312(a)(1),
7.3.3,"Ensure custom script execution is restricted on personal sites",PR.AA-05,CM-7;CM-11,A.8.19;A.8.26,,2.2.x,3.4.6;3.4.9,§164.312(a)(1),
7.3.4,"Ensure custom script execution is restricted on site collections",PR.AA-05,CM-7;CM-11,A.8.19;A.8.26,,2.2.x,3.4.6;3.4.9,§164.312(a)(1),
8.1.1,"Ensure external file sharing in Teams is enabled for only approved cloud storage services",PR.DS-01,CM-7;SC-7(10),A.8.19;A.8.26,,2.2.x;7.2.x,3.4.6;3.13.1,§164.312(a)(1),
8.1.2,"Ensure users can't send emails to a channel email address",PR.DS-02,SI-8;SC-7(10);AC-4,A.8.20;A.8.23,,2.2.x;5.4.x,3.13.1;3.14.5,§164.312(e)(1),
8.2.1,"Ensure external domains are restricted in the Teams admin center",PR.AA-05,AC-3,A.5.15;A.5.19,,7.2.x;2.2.x,3.1.2;3.1.20,§164.312(a)(1),
8.2.2,"Ensure communication with unmanaged Teams users is disabled",PR.AA-05,CM-7;SC-7(10),A.8.19;A.8.20,,2.2.x;7.2.x,3.4.6;3.13.1,§164.312(a)(1),
8.2.3,"Ensure external Teams users cannot initiate conversations",PR.AA-05,CM-7;SI-8,A.8.19;A.8.23,,2.2.x;7.2.x,3.4.6;3.14.5,§164.312(a)(1),
8.2.4,"Ensure communication with Skype users is disabled",PR.AA-05,CM-7,A.8.19;A.8.20,,2.2.x,3.4.6,§164.312(a)(1),
8.4.1,"Ensure app permission policies are configured",PR.AA-05,CM-11,A.8.19;A.8.26,,2.2.x;7.2.x,3.4.9;3.1.5,§164.312(a)(1),
8.5.1,"Ensure anonymous users can't join a meeting",PR.AA-03;PR.AA-05,SC-15a;AC-3,A.5.15;A.8.5,,7.2.x;2.2.x,3.1.2;3.13.12,§164.312(a)(1);§164.312(d),
8.5.2,"Ensure anonymous users and dial-in callers can't start a meeting",PR.AA-03;PR.AA-05,SC-15a,A.5.15;A.8.5,,7.2.x;2.2.x,3.1.2;3.13.12,§164.312(a)(1);§164.312(d),
8.5.3,"Ensure only people in my org can bypass the lobby",PR.AA-05,AC-3,A.5.15,,7.2.x;2.2.x,3.1.2,§164.312(a)(1),
8.5.4,"Ensure users dialing in can't bypass the lobby",PR.AA-05,SC-15a,A.5.15,,7.2.x;2.2.x,3.1.2;3.13.12,§164.312(a)(1),
8.5.5,"Ensure meeting chat does not allow anonymous users",PR.AA-05,SC-15a;AC-3,A.5.15;A.8.3,,7.2.x;2.2.x,3.1.2;3.13.12,§164.312(a)(1),
8.5.6,"Ensure only organizers and co-organizers can present",PR.AA-05,AC-3;AC-21a,A.5.15,,7.2.x;2.2.x,3.1.2,§164.312(a)(1),
8.5.7,"Ensure external participants can't give or request control",PR.AA-05,AC-17a,A.5.15;A.8.20,,7.2.x;2.2.x,3.1.12;3.1.14,§164.312(a)(1),
8.5.8,"Ensure external meeting chat is off",PR.AA-05,CM-7;SC-7(10),A.5.15;A.8.20,,2.2.x;7.2.x,3.4.6;3.13.1,§164.312(a)(1),
8.5.9,"Ensure meeting recording is off by default",PR.DS-01;PR.AA-05,CM-7,A.5.15;A.8.11,,2.2.x,3.4.6,§164.312(a)(1),
8.6.1,"Ensure users can report security concerns in Teams",RS.CO-02,SI-4(5);SI-4(12),A.6.8;A.8.16,,,,§164.308(a)(6)(i),
9.1.1,"Ensure guest user access is restricted in Power BI",PR.AA-05,CM-7;AC-6,A.5.15;A.5.18,,7.2.x,3.1.5;3.4.6,§164.312(a)(1),
9.1.2,"Ensure external user invitations are restricted in Power BI",PR.AA-05,CM-7;AC-6,A.5.15;A.5.18,,7.2.x,3.1.5;3.4.6,§164.312(a)(1),
9.1.3,"Ensure guest access to content is restricted in Power BI",PR.AA-05,CM-7;AC-6,A.5.15;A.5.18,,7.2.x,3.1.5;3.4.6,§164.312(a)(1),
9.1.4,"Ensure 'Publish to web' is restricted in Power BI",PR.DS-01,CM-7;SC-7(10),A.8.19;A.8.12,,7.2.x;2.2.x,3.4.6;3.13.1,§164.312(a)(1),
9.1.5,"Ensure 'Interact with and share R and Python' visuals is 'Disabled' in Power BI",PR.DS-01,CM-7;SI-3,A.8.19;A.8.7,,2.2.x,3.4.6;3.14.2,§164.312(a)(1),
9.1.6,"Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled' in Power BI",PR.DS-01,AC-3;SC-7(10),A.5.12;A.5.13,,3.4.x;3.5.x,3.1.22;3.13.1,§164.312(c)(1),
9.1.7,"Ensure shareable links are restricted in Power BI",PR.AA-05;PR.DS-01,AC-21b;SC-7(10),A.5.15;A.8.12,,7.2.x,3.1.22;3.1.5,§164.312(a)(1),
9.1.8,"Ensure enabling of external data sharing is restricted in Power BI",PR.DS-01,CM-7;SC-7(10),A.5.15;A.8.12,,7.2.x;2.2.x,3.4.6;3.13.1,§164.312(a)(1),
