"ControlId","Title","Description","Family","Notes"
"RS.MA-02","Incident Triage","Incident reports are triaged and validated","Respond","Incident Management"
"RS.MA-03","Incident Categorization","Incidents are categorized and prioritized","Respond","Incident Management"
"RS.MA-04","Incident Escalation","Incidents are escalated or elevated as needed","Respond","Incident Management"
"RS.MA-05","Criteria for Incident Response","The criteria for initiating incident recovery are applied","Respond","Incident Management"
"RS.AN-03","Root Cause Analysis","Analysis is performed to determine what has taken place during an incident and the root cause of the incident","Respond","Incident Analysis"
"RS.AN-06","Investigation Actions","Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved","Respond","Incident Analysis"
"RS.AN-07","Incident Data Collection","Incident data and metadata are collected, and their integrity and provenance are preserved","Respond","Incident Analysis"
"RS.AN-08","Incident Estimation","An incident's magnitude is estimated and validated","Respond","Incident Analysis"
"RS.CO-02","Internal Stakeholder Notification","Internal and external stakeholders are notified of incidents","Respond","Incident Response Reporting and Communication"
"RS.CO-03","Information Sharing","Information is shared with designated internal and external stakeholders","Respond","Incident Response Reporting and Communication"
"RS.MI-01","Incident Containment","Incidents are contained","Respond","Incident Mitigation"
"RS.MI-02","Incident Eradication","Incidents are eradicated","Respond","Incident Mitigation"
"RC.RP-01","Recovery Plan Execution","The recovery portion of the incident response plan is executed once initiated from the incident response process","Recover","Incident Recovery Plan Execution"
"RC.RP-02","Recovery Selection","Recovery actions are selected, scoped, prioritized, and performed","Recover","Incident Recovery Plan Execution"
"RC.RP-03","Backup Integrity Verification","The integrity of backups and other restoration assets is verified before using them for restoration","Recover","Incident Recovery Plan Execution"
"RC.RP-04","Critical Mission Functions","Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms","Recover","Incident Recovery Plan Execution"
"RC.RP-05","Restoration Verification","The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed","Recover","Incident Recovery Plan Execution"
"RC.RP-06","End of Recovery Declaration","The end of incident recovery is declared based on criteria, and incident-related documentation is completed","Recover","Incident Recovery Plan Execution"
"RC.CO-03","Recovery Activities Communication","Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders","Recover","Incident Recovery Communication"
"RC.CO-04","Public Updates","Public updates on incident recovery are shared using approved methods and messaging","Recover","Incident Recovery Communication"
