"ControlId","Title","Description","Family","Notes"
"MS.AAD.8.2v1","Only users with the Guest Inviter role SHOULD be able to invite guest users","Restrict guest invitation capability to the Guest Inviter role","Entra ID","AC-6(10)"
"MS.AAD.8.3v1","Guest invites SHOULD only be allowed to specific external domains authorized by the agency","Restrict guest invitations to approved external domains for legitimate business purposes","Entra ID","AC-3"
"MS.EXO.1.1v2","Automatic forwarding to external domains SHALL be disabled","Disable automatic email forwarding to external domains to prevent data exfiltration","Exchange Online","AC-4"
"MS.EXO.2.2v3","An SPF policy SHALL be published for each domain that fails all non-approved senders","Publish SPF records that fail unauthorized senders for all agency domains","Exchange Online","AC-2d"
"MS.EXO.3.1v1","DKIM SHOULD be enabled for all domains","Enable DomainKeys Identified Mail signing for all agency domains","Exchange Online","SC-8"
"MS.EXO.4.1v1","A DMARC policy SHALL be published for every second-level domain","Publish DMARC DNS records for all second-level domains","Exchange Online","SI-8"
"MS.EXO.4.2v1","The DMARC message rejection option SHALL be p=reject","Set DMARC policy to reject to block spoofed emails","Exchange Online","SI-8"
"MS.EXO.4.3v1","The DMARC point of contact for aggregate reports SHALL include reports@dmarc.cyber.dhs.gov","Include CISA DMARC reporting address in DMARC aggregate report configuration","Exchange Online","SI-4(5)"
"MS.EXO.4.4v1","An agency point of contact SHOULD be included for aggregate and failure reports","Include agency-specific contacts for DMARC aggregate and failure reports","Exchange Online","SI-4(5)"
"MS.EXO.5.1v1","SMTP AUTH SHALL be disabled","Disable SMTP AUTH to prevent legacy authentication for email submission","Exchange Online","CM-7"
"MS.EXO.6.1v1","Contact folders SHALL NOT be shared with all domains","Prevent sharing contact folders with all external domains","Exchange Online","AC-3, SC-7(10)(a)"
"MS.EXO.6.2v1","Calendar details SHALL NOT be shared with all domains","Prevent sharing calendar details with all external domains","Exchange Online","AC-3, SC-7(10)(a)"
"MS.EXO.7.1v1","External sender warnings SHALL be implemented","Display warnings to users when emails are received from external senders","Exchange Online","SI-8"
"MS.EXO.8.1v2","A DLP solution SHALL be used","Deploy a Data Loss Prevention solution for Exchange Online","Exchange Online","SC-7(10)"
"MS.EXO.8.2v2","The DLP solution SHALL protect PII and sensitive information as defined by the agency","Configure DLP to protect personally identifiable information and agency-defined sensitive data","Exchange Online","SC-7(10)"
"MS.EXO.8.3v1","The selected DLP solution SHOULD offer services comparable to the native DLP solution","Ensure third-party DLP solutions provide capabilities comparable to Microsoft native DLP","Exchange Online","SC-7(10)"
"MS.EXO.8.4v1","At a minimum the DLP solution SHALL restrict sharing credit card numbers U.S. ITINs and U.S. SSNs via email","Configure DLP to block sharing of credit card numbers ITINs and SSNs through email","Exchange Online","SC-7(10)"
"MS.EXO.9.1v2","Emails SHALL be filtered by attachment file types","Enable attachment file type filtering for inbound emails","Exchange Online","SI-3"
"MS.EXO.9.2v1","The attachment filter SHOULD attempt to determine the true file type and assess file extension","Configure attachment filter to detect true file types beyond file extensions","Exchange Online","SI-3"
"MS.EXO.9.3v2","Disallowed file types SHALL be determined and enforced","Define and enforce a list of disallowed attachment file types","Exchange Online","SI-3"
"MS.EXO.9.4v1","If a third-party filtering solution is used it SHOULD offer services comparable to Microsoft Defender Common Attachment Filter","Ensure third-party attachment filters match Microsoft Defender capabilities","Exchange Online","SI-3"
"MS.EXO.9.5v1","At a minimum click-to-run files SHOULD be blocked","Block click-to-run file types such as exe cmd and vbe at minimum","Exchange Online","SI-3"
"MS.EXO.10.1v1","Emails SHALL be scanned for malware","Enable malware scanning for all inbound and outbound emails","Exchange Online","SI-3"
"MS.EXO.10.2v1","Emails identified as containing malware SHALL be quarantined or dropped","Quarantine or drop emails detected as containing malware","Exchange Online","SI-3"
"MS.EXO.10.3v1","Email scanning SHALL be capable of reviewing emails after delivery","Enable zero-hour auto purge or equivalent post-delivery malware scanning","Exchange Online","SI-3"
"MS.EXO.11.1v1","Impersonation protection checks SHOULD be used","Enable impersonation protection to detect attempts to impersonate users and domains","Exchange Online","SI-8"
"MS.EXO.11.2v1","User warnings comparable to the user safety tips included with EOP SHOULD be displayed","Display user safety tips for suspicious emails comparable to EOP warnings","Exchange Online","AT-2b, SI-8"
"MS.EXO.11.3v1","The phishing protection solution SHOULD include an AI-based phishing detection tool comparable to EOP Mailbox Intelligence","Deploy AI-based phishing detection comparable to Exchange Online Protection Mailbox Intelligence","Exchange Online","SI-8"
"MS.EXO.12.1v1","IP allow lists SHOULD NOT be created","Avoid creating IP allow lists in connection filters to prevent bypassing security checks","Exchange Online","AC-4"
"MS.EXO.12.2v1","Safe lists SHOULD NOT be enabled","Disable safe lists to prevent bypassing spam filtering","Exchange Online","AC-4"
"MS.EXO.13.1v1","Mailbox auditing SHALL be enabled","Enable mailbox auditing to log mailbox access and actions","Exchange Online","AU-12c"
"MS.EXO.14.1v2","A spam filter SHALL be enabled","Enable spam filtering for all inbound emails","Exchange Online","SI-8"
"MS.EXO.14.2v1","Spam and high confidence spam SHALL be moved to either the junk email folder or quarantine","Configure spam filter actions to move spam to junk or quarantine","Exchange Online","SI-8"
"MS.EXO.14.3v1","Allowed domains SHALL NOT be added to inbound anti-spam protection policies","Do not add allowed domains to anti-spam policies to prevent bypassing spam filters","Exchange Online","SI-8"
"MS.EXO.14.4v1","If a third-party filtering solution is used the solution SHOULD offer services comparable to native spam filtering","Ensure third-party spam filters provide capabilities comparable to Microsoft native filtering","Exchange Online","SI-8"
"MS.EXO.15.1v1","URL comparison with a block-list SHOULD be enabled","Enable URL block-list comparison for Safe Links protection","Exchange Online","SI-3"
"MS.EXO.15.2v1","Direct download links SHOULD be scanned for malware","Enable scanning of direct download links for malware via Safe Links","Exchange Online","SI-3"
"MS.EXO.15.3v1","User click tracking SHOULD be enabled","Enable tracking of user clicks on URLs for security monitoring","Exchange Online","SI-3, AU-12c"
"MS.EXO.16.1v1","At a minimum required alerts SHALL be enabled for suspicious email activity","Enable alerts for suspicious email sending patterns connector activity forwarding delays and malicious URL clicks","Exchange Online","SI-4(5)"
"MS.EXO.16.2v1","The alerts SHOULD be sent to a monitored address or incorporated into a SIEM","Send email security alerts to a monitored address or SIEM system","Exchange Online","SI-4(12)"
"MS.EXO.17.1v1","Unified Audit logging SHALL be enabled","Enable Microsoft 365 Unified Audit Logging for Exchange Online","Exchange Online","AU-12"
"MS.EXO.17.3v1","Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31","Retain audit logs for at least the duration required by OMB M-21-31 Appendix C","Exchange Online","AU-11"
"MS.DEFENDER.1.1v1","The standard and strict preset security policies SHALL be enabled","Enable both standard and strict preset security policies in Microsoft Defender","Defender","CM-6a, SI-3a, SI-8"
"MS.DEFENDER.1.2v1","All users SHALL be added to Exchange Online Protection in either the standard or strict preset security policy","Ensure all users are covered by EOP through preset security policies","Defender","CM-6a, SI-3a, SI-8"
"MS.DEFENDER.1.3v1","All users SHALL be added to Defender for Office 365 protection in either the standard or strict preset security policy","Ensure all users are covered by Defender for Office 365 through preset security policies","Defender","CM-6a, SI-3a, SI-8"
"MS.DEFENDER.1.4v1","Sensitive accounts SHALL be added to Exchange Online Protection in the strict preset security policy","Add sensitive accounts to the strict preset security policy for enhanced EOP protection","Defender","CM-6a, SI-3a, SI-8"
"MS.DEFENDER.1.5v1","Sensitive accounts SHALL be added to Defender for Office 365 protection in the strict preset security policy","Add sensitive accounts to the strict preset security policy for enhanced Defender protection","Defender","CM-6a, SI-3a, SI-8"
"MS.DEFENDER.2.1v1","User impersonation protection SHOULD be enabled for sensitive accounts in both preset policies","Enable user impersonation protection for sensitive accounts in standard and strict policies","Defender","SI-8"
"MS.DEFENDER.2.2v1","Domain impersonation protection SHOULD be enabled for domains owned by the agency","Enable domain impersonation protection for agency-owned domains in preset policies","Defender","SI-8"
"MS.DEFENDER.2.3v1","Domain impersonation protection SHOULD be added for key suppliers and partners","Enable domain impersonation protection for key supplier and partner domains in preset policies","Defender","SI-8"
"MS.DEFENDER.3.1v1","Safe attachments SHOULD be enabled for SharePoint OneDrive and Microsoft Teams","Enable Safe Attachments scanning for files in SharePoint OneDrive and Teams","Defender","SI-3a"
"MS.DEFENDER.4.1v2","A custom DLP policy SHALL be configured to protect PII and sensitive information","Configure custom DLP policy blocking credit card numbers ITINs and SSNs at minimum","Defender","SC-7(10)"
"MS.DEFENDER.4.2v1","The custom policy SHOULD be applied to Exchange OneDrive SharePoint Teams chat and Devices","Apply DLP custom policy across Exchange OneDrive SharePoint Teams and endpoint devices","Defender","SC-7(10)"
"MS.DEFENDER.4.3v1","The action for the custom policy SHOULD be set to block sharing sensitive information with everyone","Configure DLP policy action to block sharing of sensitive information","Defender","AC-3, SC-7(10)"
"MS.DEFENDER.4.4v1","Notifications to inform users and help educate them on proper use of sensitive information SHOULD be enabled","Enable DLP policy notifications to educate users about proper handling of sensitive data","Defender","AT-2b"
"MS.DEFENDER.4.5v1","A list of apps that are restricted from accessing files protected by DLP policy SHOULD be defined","Define restricted apps that cannot access DLP-protected files","Defender","SC-7(10)"
"MS.DEFENDER.4.6v1","The custom policy SHOULD include an action to block access to sensitive information by restricted apps","Configure DLP to block restricted apps and unwanted Bluetooth applications from accessing sensitive data","Defender","AC-19a"
"MS.DEFENDER.5.1v1","At a minimum the alerts required by the CISA EXO baseline SHALL be enabled","Enable all alert policies required by the CISA Exchange Online security baseline","Defender","SI-4(5)"
"MS.DEFENDER.5.2v1","The alerts SHOULD be sent to a monitored address or incorporated into a SIEM","Send Defender alerts to a monitored address or Security Information and Event Management system","Defender","SI-4(5)"
"MS.DEFENDER.6.1v1","Unified Audit logging SHALL be enabled","Enable Microsoft 365 Unified Audit Logging","Defender","AU-12"
"MS.DEFENDER.6.3v1","Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31","Retain audit logs for at least the duration required by OMB Memorandum M-21-31","Defender","AU-11"
"MS.SHAREPOINT.1.1v1","External sharing for SharePoint SHALL be limited to Existing guests or Only people in your organization","Restrict SharePoint external sharing to existing guests or internal users only","SharePoint","AC-2, AC-3, IA-8"
"MS.SHAREPOINT.1.2v1","External sharing for OneDrive SHALL be limited to Existing guests or Only people in your organization","Restrict OneDrive external sharing to existing guests or internal users only","SharePoint","AC-2, AC-3, IA-8"
"MS.SHAREPOINT.1.3v1","External sharing SHALL be restricted to approved external domains and/or users in approved security groups","Limit external sharing to approved domains and security groups per collaboration needs","SharePoint","AC-3, AC-6(10)"
"MS.SHAREPOINT.2.1v1","File and folder default sharing scope SHALL be set to Specific people","Set default sharing scope to only the people the user specifies","SharePoint","AC-6"
"MS.SHAREPOINT.2.2v1","File and folder default sharing permissions SHALL be set to view only","Set default sharing permissions to view only to limit access","SharePoint","AC-6"
"MS.SHAREPOINT.3.1v1","Expiration days for Anyone links SHALL be set to 30 days or less","Limit Anyone link expiration to 30 days or fewer","SharePoint","AC-3, AC-21b"
"MS.SHAREPOINT.3.2v1","The allowable file and folder permissions for links SHALL be set to view only","Restrict Anyone link permissions to view only","SharePoint","AC-6"
"MS.SHAREPOINT.3.3v1","Reauthentication days for people who use a verification code SHALL be set to 30 days or less","Require reauthentication within 30 days for verification code users","SharePoint","IA-11"
"MS.TEAMS.1.1v1","External meeting participants SHOULD NOT be enabled to request control of shared desktops or windows","Prevent external participants from requesting control of shared content in meetings","Teams","AC-17a"
"MS.TEAMS.1.2v2","Anonymous users SHALL NOT be enabled to start meetings","Prevent anonymous users from initiating Teams meetings","Teams","SC-15a"
"MS.TEAMS.1.3v1","Anonymous users and dial-in callers SHOULD NOT be admitted automatically","Require lobby admission for anonymous users and dial-in callers","Teams","SC-15a"
"MS.TEAMS.1.4v1","Internal users SHOULD be admitted automatically","Allow automatic admission for internal organizational users","Teams","AC-3"
"MS.TEAMS.1.5v1","Dial-in users SHOULD NOT be enabled to bypass the lobby","Require dial-in users to wait in the lobby before being admitted","Teams","SC-15a"
"MS.TEAMS.1.6v1","Meeting recording SHOULD be disabled","Disable the ability to record Teams meetings by default","Teams","CM-7"
"MS.TEAMS.1.7v2","Record an event SHOULD NOT be set to Always record","Do not configure Teams events to always record automatically","Teams","AC-21a"
"MS.TEAMS.2.1v2","External access for users SHALL only be enabled on a per-domain basis","Restrict external access to specific approved domains rather than allowing all","Teams","AC-3"
"MS.TEAMS.2.2v2","Unmanaged users SHALL NOT be enabled to initiate contact with internal users","Prevent unmanaged external users from initiating contact with organizational users","Teams","CM-7, SI-8"
"MS.TEAMS.2.3v2","Internal users SHOULD NOT be enabled to initiate contact with unmanaged users","Prevent internal users from initiating contact with unmanaged external users","Teams","CM-7, SC-7(10)(a)"
"MS.TEAMS.4.1v1","Teams email integration SHALL be disabled","Disable the ability to send emails to Teams channel email addresses","Teams","SI-8, SC-7(10)(a), AC-4"
"MS.TEAMS.5.1v2","Agencies SHOULD only allow installation of Microsoft apps approved by the agency","Restrict Microsoft Teams app installations to agency-approved Microsoft apps only","Teams","CM-11"
"MS.TEAMS.5.2v2","Agencies SHOULD only allow installation of third-party apps approved by the agency","Restrict Teams third-party app installations to agency-approved apps only","Teams","CM-11"
"MS.TEAMS.5.3v2","Agencies SHOULD only allow installation of custom apps approved by the agency","Restrict Teams custom app installations to agency-approved apps only","Teams","CM-11"
"MS.TEAMS.6.1v1","A DLP solution SHALL be enabled","Enable a Data Loss Prevention solution for Teams and ensure comparable capabilities to Microsoft native DLP","Teams","SC-7(10)"
"MS.TEAMS.6.2v1","The DLP solution SHALL protect PII and sensitive information as defined by the agency","Configure DLP to protect PII and restrict sharing of credit card numbers TINs and SSNs in Teams","Teams","SC-7(10)"
"MS.TEAMS.7.1v1","Attachments included with Teams messages SHOULD be scanned for malware","Enable malware scanning for attachments shared through Teams messages","Teams","SI-3a"
"MS.TEAMS.7.2v1","Users SHOULD be prevented from opening or downloading files detected as malware","Block users from opening or downloading files identified as malware in Teams","Teams","SI-3a"
"MS.TEAMS.8.1v1","URL comparison with a blocklist SHOULD be enabled","Enable URL blocklist comparison for links shared in Teams","Teams","SI-3a"
"MS.TEAMS.8.2v1","User click tracking SHOULD be enabled","Enable tracking of user clicks on URLs shared in Teams","Teams","AU-12c"
"MS.POWERBI.1.1v1","The Publish to Web feature SHOULD be disabled","Disable Publish to Web unless the agency mission requires the capability","Power BI","CM-7, SC-7(10)(a)"
"MS.POWERBI.2.1v1","Guest user access to the Power BI tenant SHOULD be disabled","Disable guest user access to Power BI unless the agency mission requires it","Power BI","CM-7, AC-6"
"MS.POWERBI.3.1v1","The Invite external users to your organization feature SHOULD be disabled","Disable external user invitation in Power BI unless agency mission requires it","Power BI","CM-7, AC-6"
"MS.POWERBI.4.1v1","Service principals with access to APIs SHOULD be restricted to specific security groups","Restrict service principal API access to designated security groups","Power BI","AC-4, AC-6(5)"
"MS.POWERBI.4.2v1","Service principals creating and using profiles SHOULD be restricted to specific security groups","Restrict service principal profile creation to designated security groups","Power BI","AC-4, AC-6(5)"
"MS.POWERBI.5.1v1","ResourceKey-based authentication SHOULD be blocked","Block ResourceKey-based authentication unless a specific use case merits its use","Power BI","CM-7, IA-5g"
"MS.POWERBI.6.1v1","Python and R interactions SHOULD be disabled","Disable Python and R code execution in Power BI visuals","Power BI","CM-7, SI-3"
"MS.POWERBI.7.1v1","Sensitivity labels SHOULD be enabled for Power BI","Enable and employ sensitivity labels for sensitive data per enterprise data protection policies","Power BI","AC-21b, SC-7(10)(a)"
"MS.POWERPLATFORM.1.1v1","The ability to create production and sandbox environments SHALL be restricted to admins","Restrict creation of production and sandbox environments to administrators only","Power Platform","AC-6(10)"
"MS.POWERPLATFORM.1.2v1","The ability to create trial environments SHALL be restricted to admins","Restrict creation of trial environments to administrators only","Power Platform","AC-6(10)"
"MS.POWERPLATFORM.2.1v1","A DLP policy SHALL be created to restrict connector access in the default Power Platform environment","Create DLP policy restricting connector access in the default environment","Power Platform","SC-7(10)"
"MS.POWERPLATFORM.2.2v1","Non-default environments SHOULD have at least one DLP policy affecting them","Ensure non-default Power Platform environments have DLP policies applied","Power Platform","SC-7(10)"
"MS.POWERPLATFORM.3.1v1","Power Platform tenant isolation SHALL be enabled","Enable tenant isolation to prevent cross-tenant data flows","Power Platform","AC-3, SC-7(5)"
"MS.POWERPLATFORM.3.2v1","An inbound/outbound connection allowlist SHOULD be configured","Configure allowlist for inbound and outbound cross-tenant connections","Power Platform","AC-3, SC-7(5)"
"MS.POWERPLATFORM.4.1v1","Content Security Policy SHALL be enforced for model-driven and canvas Power Apps","Enforce CSP headers for model-driven and canvas Power Apps","Power Platform","SI-10"
"MS.POWERPLATFORM.5.1v1","The ability to create Power Pages sites SHOULD be restricted to admins","Restrict Power Pages site creation to administrators only","Power Platform","AC-6(10)"
"MS.POWERPLATFORM.6.1v1","The Share with Everyone feature SHOULD be disabled","Disable the Share with Everyone feature in Power Platform","Power Platform","AC-6(5), AC-6(10)"
