"ControlId","Title","Description","Family","Notes"
"§164.308(a)(7)(ii)(A)","Data Backup Plan","Establish and implement procedures to create and maintain retrievable exact copies of ePHI","Administrative Safeguards","Required"
"§164.308(a)(7)(ii)(B)","Disaster Recovery Plan","Establish and implement procedures to restore any loss of data","Administrative Safeguards","Required"
"§164.308(a)(7)(ii)(C)","Emergency Mode Operation Plan","Establish procedures to enable continuation of critical business processes for ePHI protection during emergency","Administrative Safeguards","Required"
"§164.308(a)(7)(ii)(D)","Testing and Revision Procedures","Implement procedures for periodic testing and revision of contingency plans","Administrative Safeguards","Addressable"
"§164.308(a)(7)(ii)(E)","Applications and Data Criticality Analysis","Assess the relative criticality of specific applications and data in support of contingency plans","Administrative Safeguards","Addressable"
"§164.308(a)(8)","Evaluation","Perform periodic technical and nontechnical evaluation to determine extent security policies meet Security Rule requirements","Administrative Safeguards","Required"
"§164.308(b)(1)","Business Associate Contracts and Other Arrangements","Ensure satisfactory assurances from business associates that they will safeguard ePHI","Administrative Safeguards","Standard"
"§164.308(b)(4)","Written Contract or Other Arrangement","Document the satisfactory assurances through a written contract or other arrangement","Administrative Safeguards","Required"
"§164.310(a)(1)","Facility Access Controls","Implement policies and procedures to limit physical access to information systems","Physical Safeguards","Standard"
"§164.310(a)(2)(i)","Contingency Operations","Establish procedures for facility access in support of data restoration under disaster recovery and emergency plans","Physical Safeguards","Addressable"
"§164.310(a)(2)(ii)","Facility Security Plan","Implement policies and procedures to safeguard the facility and equipment from unauthorized access tampering and theft","Physical Safeguards","Addressable"
"§164.310(a)(2)(iii)","Access Control and Validation Procedures","Implement procedures to control and validate access to facilities based on role or function","Physical Safeguards","Addressable"
"§164.310(a)(2)(iv)","Maintenance Records","Implement policies and procedures to document repairs and modifications to physical security components","Physical Safeguards","Addressable"
"§164.310(b)","Workstation Use","Implement policies and procedures specifying proper functions and physical attributes of workstation surroundings","Physical Safeguards","Required"
"§164.310(c)","Workstation Security","Implement physical safeguards for all workstations that access ePHI restricting access to authorized users","Physical Safeguards","Required"
"§164.310(d)(1)","Device and Media Controls","Implement policies and procedures governing the receipt and removal of hardware and electronic media","Physical Safeguards","Standard"
"§164.310(d)(2)(i)","Disposal","Implement policies and procedures to address final disposition of ePHI and hardware or media on which it is stored","Physical Safeguards","Required"
"§164.310(d)(2)(ii)","Media Re-use","Implement procedures for removal of ePHI from electronic media before reuse","Physical Safeguards","Required"
"§164.310(d)(2)(iii)","Accountability","Maintain a record of movements of hardware and electronic media and responsible persons","Physical Safeguards","Addressable"
"§164.310(d)(2)(iv)","Data Backup and Storage","Create a retrievable exact copy of ePHI before moving equipment","Physical Safeguards","Addressable"
"§164.312(a)(1)","Access Control","Implement technical policies and procedures for information systems that maintain ePHI to allow access only to authorized persons","Technical Safeguards","Standard"
"§164.312(a)(2)(i)","Unique User Identification","Assign a unique name or number for identifying and tracking user identity","Technical Safeguards","Required"
"§164.312(a)(2)(ii)","Emergency Access Procedure","Establish procedures for obtaining necessary ePHI during an emergency","Technical Safeguards","Required"
"§164.312(a)(2)(iii)","Automatic Logoff","Implement electronic procedures that terminate sessions after a predetermined period of inactivity","Technical Safeguards","Addressable"
"§164.312(a)(2)(iv)","Encryption and Decryption","Implement a mechanism to encrypt and decrypt ePHI","Technical Safeguards","Addressable"
"§164.312(b)","Audit Controls","Implement hardware software or procedural mechanisms that record and examine activity in systems containing ePHI","Technical Safeguards","Required"
"§164.312(c)(1)","Integrity","Implement policies and procedures to protect ePHI from improper alteration or destruction","Technical Safeguards","Standard"
"§164.312(c)(2)","Mechanism to Authenticate ePHI","Implement electronic mechanisms to corroborate that ePHI has not been altered or destroyed","Technical Safeguards","Addressable"
"§164.312(d)","Person or Entity Authentication","Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed","Technical Safeguards","Required"
"§164.312(e)(1)","Transmission Security","Implement technical security measures to guard against unauthorized access to ePHI transmitted over electronic networks","Technical Safeguards","Standard"
"§164.312(e)(2)(i)","Integrity Controls","Implement security measures to ensure electronically transmitted ePHI is not improperly modified without detection","Technical Safeguards","Addressable"
"§164.312(e)(2)(ii)","Encryption","Implement a mechanism to encrypt ePHI whenever deemed appropriate","Technical Safeguards","Addressable"
"§164.316(a)","Policies and Procedures","Implement reasonable and appropriate policies and procedures to comply with the Security Rule","Documentation","Required"
"§164.316(b)(1)","Documentation","Maintain written policies and procedures and written records of required actions activities or assessments","Documentation","Standard"
"§164.316(b)(2)(i)","Time Limit","Retain documentation for 6 years from the date of creation or last effective date","Documentation","Required"
"§164.316(b)(2)(ii)","Availability","Make documentation available to those responsible for implementing security procedures","Documentation","Required"
"§164.316(b)(2)(iii)","Updates","Review documentation periodically and update as needed in response to changes","Documentation","Required"
