"ControlId","Title","Description","Family","Notes"
"5.3","Anti-Malware Active and Monitored","Ensure anti-malware mechanisms are actively running and cannot be disabled by users","Vulnerability Management",""
"5.4","Anti-Phishing Mechanisms Protect Users","Deploy automated mechanisms to detect and protect personnel against phishing attacks","Vulnerability Management",""
"6.1","Secure Development Processes Defined","Establish processes for identifying and managing security vulnerabilities","Vulnerability Management",""
"6.2","Bespoke Software Developed Securely","Develop bespoke and custom software following secure coding practices","Vulnerability Management",""
"6.3","Security Vulnerabilities Addressed","Identify security vulnerabilities and install vendor patches in a timely manner","Vulnerability Management",""
"6.4","Public-Facing Web Apps Protected","Protect public-facing web applications against known attack methods","Vulnerability Management",""
"6.5","Changes Managed Securely","Manage all changes to system components using established change control processes","Vulnerability Management",""
"7.1","Access Restriction Processes Defined","Establish processes for restricting access to system components and cardholder data","Access Control",""
"7.2","Access Appropriately Defined","Restrict access to system components and data based on business need to know","Access Control",""
"7.3","Access Managed via Access Control Systems","Enforce authorized access to systems and data through access control mechanisms","Access Control",""
"8.1","User Identification Processes Defined","Establish processes for identifying users and authenticating access to system components","Access Control",""
"8.2","User Accounts Managed","Manage user identification and related accounts throughout their lifecycle","Access Control",""
"8.3","Strong Authentication Established","Establish and manage strong authentication factors for users and administrators","Access Control",""
"8.4","MFA Implemented for CDE Access","Implement multi-factor authentication for all access into the cardholder data environment","Access Control",""
"8.5","MFA Systems Configured Properly","Configure multi-factor authentication systems to prevent misuse","Access Control",""
"8.6","Application and System Accounts Managed","Manage use of application and system accounts and associated authentication factors","Access Control",""
"9.1","Physical Access Processes Defined","Establish processes for restricting physical access to cardholder data","Access Control",""
"9.2","Physical Access Controls Manage Entry","Control physical entry into facilities and sensitive areas","Access Control",""
"9.3","Physical Access Authorized","Authorize and manage physical access for personnel and visitors","Access Control",""
"9.4","Media Securely Stored and Destroyed","Securely store handle and destroy media containing cardholder data","Access Control",""
"9.5","POI Devices Protected","Protect point-of-interaction devices from tampering and unauthorized substitution","Access Control",""
"10.1","Logging and Monitoring Defined","Establish processes for logging and monitoring all access to system components and cardholder data","Monitor and Test",""
"10.2","Audit Logs Implemented","Implement automated audit trail mechanisms for all system components","Monitor and Test",""
"10.3","Audit Logs Protected","Protect audit trails from unauthorized modification so they cannot be altered","Monitor and Test",""
"10.4","Audit Logs Reviewed","Review audit logs promptly to identify suspicious or anomalous activity","Monitor and Test",""
"10.5","Audit Log History Retained","Retain audit log history for a minimum period to support investigations","Monitor and Test",""
"10.6","Time Synchronization Mechanisms Support","Synchronize system clocks across all critical systems using industry-accepted time sources","Monitor and Test",""
"10.7","Security Control Failures Detected","Detect report and respond to failures of critical security control systems promptly","Monitor and Test",""
"11.1","Security Testing Processes Defined","Establish processes for regularly testing security of systems and networks","Monitor and Test",""
"11.2","Wireless Access Points Managed","Identify and monitor all authorized and unauthorized wireless access points quarterly","Monitor and Test",""
"11.3","Vulnerabilities Identified and Addressed","Perform internal and external vulnerability scans and address identified vulnerabilities","Monitor and Test",""
"11.4","Penetration Testing Performed","Perform internal and external penetration testing regularly and after significant changes","Monitor and Test",""
"11.5","Network Intrusions and File Changes Detected","Deploy change detection and intrusion detection mechanisms on critical systems","Monitor and Test",""
"11.6","Unauthorized Changes Detected","Detect and alert on unauthorized changes to HTTP headers and payment page content","Monitor and Test",""
"12.1","Information Security Policy Known","Establish maintain and disseminate a comprehensive information security policy","Information Security Policy",""
"12.2","Acceptable Use Policies Defined","Define and implement acceptable use policies for end-user technologies","Information Security Policy",""
"12.3","Risks Formally Managed","Formally identify evaluate and manage risks to the cardholder data environment","Information Security Policy",""
"12.4","PCI DSS Compliance Managed","Assign executive management responsibility for protecting cardholder data and ensuring PCI DSS compliance","Information Security Policy",""
"12.5","PCI DSS Scope Documented","Document and validate the scope of the PCI DSS assessment annually","Information Security Policy",""
"12.6","Security Awareness Education Ongoing","Implement formal security awareness training for all personnel upon hire and annually","Information Security Policy",""
"12.7","Personnel Screened","Screen potential personnel prior to hire to minimize risk of attacks from internal sources","Information Security Policy",""
"12.8","Third-Party Relationships Managed","Manage and monitor service providers with whom cardholder data is shared","Information Security Policy",""
"12.9","Service Providers Support PCI DSS","Ensure third-party service providers acknowledge their PCI DSS responsibilities","Information Security Policy",""
"12.10","Security Incidents Responded To","Implement an incident response plan and be prepared to respond immediately to a system breach","Information Security Policy",""
