"ControlId","Title","Description","Family","Notes"
"V-223284","The Macro Runtime Scan Scope must be enabled for all documents","The Macro Runtime Scan Scope setting determines the behavior of the runtime scan for enabled macros across all Office applications. Enabling this scan helps detect malicious macro activity during execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223285","Document metadata for rights managed Office Open XML files must be protected","When an Office Open XML document is protected with Information Rights Management, the metadata of the document should also be encrypted. Failure to protect metadata could expose sensitive information about the document.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223286","The Office client must be prevented from polling the SharePoint Server for published links","Polling the SharePoint server for published links can create unnecessary network traffic and potential information disclosure. This capability should be disabled when not required.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223287","Custom user interface (UI) code must be blocked from loading in all Office applications","Custom UI code, such as code behind forms and controls, can be used to execute malicious actions. Blocking custom UI code loading prevents potential exploitation of the Office application interface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223288","ActiveX Controls must be initialized in Safe Mode","ActiveX controls can be used to run arbitrary code. Initializing ActiveX controls in Safe Mode limits the capabilities of controls, preventing them from accessing system resources or executing potentially dangerous operations.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223289","Macros in all Office applications opened programmatically must follow macro security level","When Office applications are opened programmatically, macros may bypass normal security settings. Enforcing macro security levels for programmatically opened files ensures consistent security across all access methods.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223290","Trust Bar notifications must display information about automatically blocked content","Trust Bar notifications inform users when potentially dangerous content has been automatically blocked. Displaying this information ensures users are aware of security actions taken by the application.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223291","Office applications must specify encryption type in password-protected Office 97-2003 files","Password-protected Office 97-2003 files must use a specified encryption type to ensure adequate protection. Weak or default encryption algorithms may not provide sufficient security for sensitive documents.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223292","Office applications must specify encryption type in password-protected Office Open XML files","Specifying the encryption type for password-protected Office Open XML files ensures that strong encryption algorithms are used, providing adequate confidentiality protection for document contents.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223293","Users must be prevented from creating new trusted locations in the Trust Center","Trusted locations bypass security checks on files. Allowing users to add trusted locations increases the risk that malicious content could be opened without security scanning.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223294","Office applications must not load XML expansion packs with Smart Documents","Smart Document XML expansion packs can contain code that runs when the document is opened. Blocking these packs prevents potential code execution from untrusted sources.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223295","The load of controls in Forms3 must be blocked","Controls in Forms3 could contain malicious code. Blocking the loading of these controls prevents potential code execution and reduces the application attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223296","Add-on Management must be enabled for all Office 365 ProPlus programs","Add-on management controls the loading and execution of browser add-ons within Office programs. Enabling this feature ensures unauthorized add-ons cannot compromise the security of Office applications.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223297","Consistent MIME handling must be enabled for all Office 365 ProPlus programs","Consistent MIME handling ensures that files are identified and handled correctly based on their actual content type rather than their file extension, preventing potential exploitation through file type mismatches.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223298","User name and password must be disabled in all Office programs","Disabling the use of user name and password in Office programs prevents credentials from being stored or transmitted insecurely through Office application features.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223299","The Information Bar must be enabled in all Office programs","The Information Bar provides security notifications to users about potentially dangerous content or actions. Disabling it would prevent users from receiving important security warnings.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223300","The Local Machine Zone Lockdown Security must be enabled in all Office programs","Local Machine Zone Lockdown restricts the permissions of content running in the Local Machine zone, preventing potentially malicious scripts from having elevated access to system resources.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223301","The MIME Sniffing safety feature must be enabled in all Office programs","MIME sniffing examines file content to determine its actual type regardless of the declared MIME type. Enabling this feature prevents files from being misidentified and processed incorrectly.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223302","Navigate URL must be enabled in all Office programs","Navigate URL security feature controls how URLs are opened from Office applications. Proper configuration ensures URLs are handled securely and prevents unauthorized navigation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223303","Object Caching Protection must be enabled in all Office programs","Object caching protection prevents ActiveX control data from being cached and reused across security contexts, reducing the risk of cross-domain data leakage.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223304","Protection from zone elevation must be enabled in all Office programs","Zone elevation protection prevents content in a lower security zone from navigating to a higher security zone, blocking privilege escalation attacks through zone manipulation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223305","ActiveX installation restriction must be enabled in all Office programs","Restricting ActiveX installation prevents unauthorized ActiveX controls from being installed through Office programs, reducing the attack surface and preventing potential code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223306","File Download Restriction must be enabled in all Office programs","Restricting file downloads from within Office programs prevents potentially malicious files from being downloaded and executed without proper security scanning.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223307","The Save from URL feature must be enabled in all Office programs","The Save from URL security feature controls how files from URLs are saved, ensuring proper security checks are applied before files are saved to the local system.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223308","Scripted Windows Security restrictions must be enabled in all Office programs","Scripted Windows Security restrictions prevent scripts from manipulating browser windows in ways that could deceive users or bypass security controls.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223309","Flash player activation must be disabled in all Office programs","Adobe Flash Player has a history of security vulnerabilities. Disabling Flash player activation in Office programs eliminates this attack vector and reduces the application attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223310","Trusted Locations on the network must be disabled in Excel","Allowing trusted locations on a network can enable remote content to bypass security checks. Disabling network trusted locations ensures that only local trusted content is exempt from security verification.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223311","VBA Macros not digitally signed must be blocked in Excel","Unsigned VBA macros in Excel may contain malicious code. Requiring digital signatures ensures that macros come from a trusted source and have not been tampered with.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223312","Dynamic Data Exchange (DDE) server launch in Excel must be blocked","DDE server launch can be exploited to execute arbitrary commands on the system. Blocking DDE server launch prevents attackers from using Excel as a vector for command execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223313","Dynamic Data Exchange (DDE) server lookup in Excel must be blocked","DDE server lookup enables communication between applications that can be exploited. Blocking DDE server lookup prevents potential data exfiltration and command execution through DDE channels.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223314","Open/save of dBase III / IV format files must be blocked in Excel","Legacy dBase III/IV file formats may contain vulnerabilities that can be exploited. Blocking these legacy formats prevents potential exploitation through maliciously crafted files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223315","Open/save of Dif and Sylk format files must be blocked in Excel","DIF and SYLK file formats are legacy formats that may contain exploitable vulnerabilities. Blocking these formats reduces the attack surface of Excel.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223316","Open/save of Excel 2 macrosheets and add-in files must be blocked","Excel 2 format macrosheets and add-in files are obsolete formats that may contain exploitable vulnerabilities. Blocking prevents exploitation of legacy file format parsers.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223317","Open/save of Excel 2 worksheets must be blocked","Excel 2 format worksheets are obsolete and may contain exploitable vulnerabilities. Blocking these legacy formats reduces the attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223318","Open/save of Excel 3 macrosheets and add-in files must be blocked","Excel 3 format macrosheets and add-in files are obsolete formats with potential exploitable vulnerabilities. Blocking prevents exploitation through legacy format parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223319","Open/save of Excel 3 worksheets must be blocked","Excel 3 worksheets are legacy formats that may harbor exploitable vulnerabilities. These must be blocked to reduce the attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223320","Open/save of Excel 4 macrosheets and add-in files must be blocked","Excel 4.0 macrosheets (XLM macros) are a known attack vector used by adversaries. Blocking these formats prevents exploitation of the legacy Excel 4.0 macro system.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223321","Open/save of Excel 4 workbooks must be blocked","Excel 4 workbooks are obsolete formats that may be used to deliver malicious content. Blocking these formats prevents exploitation through legacy file parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223322","Open/save of Excel 4 worksheets must be blocked","Excel 4 worksheets are legacy formats that could contain exploitable vulnerabilities. Blocking prevents potential exploitation through maliciously crafted files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223323","Open/save of Excel 95 workbooks must be blocked","Excel 95 workbooks are obsolete formats with known vulnerabilities. Blocking these legacy formats prevents exploitation through file format parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223324","Open/save of Excel 95-97 workbooks and templates must be blocked","Excel 95-97 format workbooks and templates are legacy formats that may harbor exploitable vulnerabilities in their file parsers. Blocking reduces the attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223325","The default file block behavior must be set to not open blocked files in Excel","When file block settings prevent opening a file type, the default behavior should prevent the file from opening rather than opening it in Protected View, ensuring blocked formats cannot be accessed.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223326","Open/save of Web pages and Excel 2003 XML spreadsheets must be blocked","Web pages and Excel 2003 XML spreadsheets can contain scripts and active content that may execute malicious code. Blocking prevents potential exploitation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223327","Extraction options must be blocked when opening corrupt Excel workbooks","When opening corrupt workbooks, data extraction options could be exploited to bypass security controls. Blocking extraction options prevents potential exploitation of corrupt file handling.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223328","Updating of links in Excel must be prompted and not automatic","Automatic updating of links could allow external data sources to inject malicious content. Requiring user prompts before updating links ensures users are aware of external data access.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223329","Loading of pictures from Web pages not created in Excel must be disabled","Loading external pictures can be used for tracking or delivering malicious content. Disabling picture loading from non-Excel web pages prevents potential information disclosure and exploitation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223330","AutoRepublish in Excel must be disabled","AutoRepublish automatically publishes workbook data to a web server. This could inadvertently expose sensitive data. Disabling AutoRepublish prevents unintended data exposure.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223331","AutoRepublish warning alert in Excel must be enabled","If AutoRepublish is used, the warning alert must be enabled to notify users when workbook data is being published, ensuring awareness of data sharing activities.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223332","File extensions must be enabled to match file types in Excel","Enforcing file extension matching prevents files with mismatched extensions from being opened, which could be used to bypass security controls and deliver malicious content.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223333","Scan of encrypted macros in Excel Open XML workbooks must be enabled","Encrypted macros in Open XML workbooks could hide malicious code from security scanning. Enabling scanning of encrypted macros ensures comprehensive threat detection.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223334","File validation in Excel must be enabled","File validation checks the binary file format structure before opening, detecting potentially malicious files with corrupted or manipulated format structures.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223335","WEBSERVICE Function Notification in Excel must be configured to disable all with notifications","The WEBSERVICE function can connect to external web services. Disabling it with notifications prevents unauthorized external connections while alerting users to attempted connections.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223336","Macros must be blocked from running in Excel files from the Internet","Excel files downloaded from the Internet may contain malicious macros. Blocking macro execution in Internet-sourced files prevents potential malware execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223337","Trust Bar notification must be enabled for unsigned application add-ins in Excel and blocked","Unsigned add-ins may contain malicious code. Trust Bar notifications inform users when unsigned add-ins attempt to load, and blocking prevents them from executing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223338","Untrusted Microsoft Query files must be blocked from opening in Excel","Microsoft Query files can connect to external data sources. Blocking untrusted Query files prevents potential data exfiltration and unauthorized database access.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223339","Untrusted database files must be opened in Excel in Protected View mode","Database files can contain macros and code that execute when opened. Opening untrusted database files in Protected View prevents automatic code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223340","Files from Internet zone must be opened in Excel in Protected View mode","Files downloaded from the Internet may contain malicious content. Opening them in Protected View provides a sandboxed environment that prevents code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223341","Files from unsafe locations must be opened in Excel in Protected View mode","Files from locations designated as unsafe should be opened in Protected View to prevent malicious content from executing and potentially compromising the system.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223342","Files failing file validation must be opened in Excel in Protected View mode and disallow edits","Files that fail validation checks may have been tampered with. Opening them in Protected View with editing disabled prevents potential exploitation of file format vulnerabilities.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223343","File attachments from Outlook must be opened in Excel in Protected View mode","Email attachments are a common malware delivery vector. Opening Outlook attachments in Protected View provides a sandboxed environment that prevents code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223344","The SIP security mode in Lync must be enabled","SIP (Session Initiation Protocol) security mode ensures that all SIP communications are encrypted using TLS, protecting signaling traffic from interception and tampering.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223345","The HTTP fallback for SIP connection in Lync must be disabled","HTTP fallback for SIP connections allows unencrypted communication when TLS is unavailable. Disabling this fallback ensures communications always use encrypted channels.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223346","The Exchange client authentication with Exchange servers must use Kerberos Password Authentication","Kerberos authentication provides stronger security than NTLM for Exchange client connections. Requiring Kerberos ensures encrypted, mutual authentication between client and server.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223347","Outlook must use RPC encryption to communicate with Microsoft Exchange servers","RPC encryption protects the confidentiality of data transmitted between Outlook and Exchange servers. Without encryption, sensitive email data could be intercepted in transit.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223348","Scripts associated with public folders must be prevented from execution in Outlook","Public folders can contain scripts placed by any authorized user. Preventing script execution from public folders mitigates the risk of running malicious scripts.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223349","Scripts associated with shared folders must be prevented from execution in Outlook","Shared folders may contain scripts from other users. Preventing script execution from shared folders protects against potential malicious code from trusted but potentially compromised sources.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223350","Files dragged from an Outlook e-mail to the file system must be created in ANSI format","Creating dragged files in ANSI format rather than Unicode prevents potential exploitation of Unicode-related vulnerabilities when handling email attachments.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223351","The junk email protection level must be set to No Automatic Filtering","The junk email protection level controls how Outlook handles suspected junk mail. The setting ensures consistent handling without automatically moving messages.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223352","ActiveX One-Off forms must only be enabled to load with Outlook Controls","ActiveX One-Off forms can contain malicious code. Restricting them to load only with Outlook Controls limits the attack surface and prevents exploitation through custom forms.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223353","Outlook must be configured to prevent users overriding attachment security settings","Users overriding attachment security settings could inadvertently allow malicious attachments to execute. Preventing overrides ensures consistent application of attachment security policies.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223354","Internet must not be included in Safe Zone for picture download in Outlook","Including the Internet in the Safe Zone for automatic picture downloads can be exploited for tracking and malicious content delivery. Internet sources must be excluded from safe zones.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223355","The Publish to Global Address List (GAL) button must be disabled in Outlook","Publishing user certificates to the GAL could expose certificate information unnecessarily. Disabling this feature prevents unintended certificate publication.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223356","The minimum encryption key length in Outlook must be at least 168 bits","Encryption key lengths below 168 bits do not provide adequate security for sensitive data. Setting a minimum of 168 bits ensures that email encryption provides sufficient cryptographic strength.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223357","The warning about invalid digital signatures must be enabled in Outlook","Users must be warned when digital signatures on emails are invalid. Without this warning, users may trust emails with forged or expired certificates.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223358","Outlook must retrieve CRLs always when online","Certificate Revocation List (CRL) checking ensures that revoked certificates are detected. Always checking CRLs when online prevents use of compromised certificates.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223359","The Outlook Security Mode must use the Outlook Security Group Policy","Using Outlook Security Group Policy ensures centralized management of security settings. Without this, individual users could weaken their security configuration.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223360","The ability to demote attachments from Level 2 to Level 1 must be disabled","Demoting attachment security levels could allow potentially dangerous file types to bypass security controls. This capability must be disabled to maintain consistent attachment handling.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223361","The display of Level 1 attachments must be disabled in Outlook","Level 1 attachments include potentially dangerous file types such as executables. Disabling their display prevents users from inadvertently opening malicious files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223362","Level 1 file attachments must be blocked from being delivered","Level 1 file attachments include executable and script files that pose a high security risk. Blocking delivery of these attachments prevents potential malware execution.","Microsoft Office 365 ProPlus","CAT I - High; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223363","Level 2 file attachments must be blocked from being delivered","Level 2 file attachments include file types that pose moderate risk. Blocking delivery ensures these potentially dangerous files cannot reach users.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223364","Outlook must not run scripts in forms with script and layout in the message","Forms containing both script and layout in the email message could execute malicious code when opened. Preventing script execution in such forms mitigates this risk.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223365","Custom actions using the Outlook object model must be automatically denied","The Outlook object model allows programmatic control of Outlook. Custom actions using this model must be denied to prevent malicious automation of email operations.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223366","Untrusted programs accessing Address Book via Outlook object model must be denied","The Address Book contains contact information that could be harvested by malware. Denying untrusted access to the Address Book prevents unauthorized data exfiltration.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223367","Binding Address Information to custom fields in custom forms must be denied","Binding address information to custom fields could allow data harvesting through specially crafted forms. Denying this capability prevents unauthorized collection of contact data.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223368","Untrusted programs using Save As to save items programmatically must be denied","The Save As command could be used by malicious programs to save email content to unauthorized locations. Denying this prevents data exfiltration through programmatic file saving.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223369","Untrusted programs accessing recipient fields must be denied","Recipient fields contain email addresses that could be harvested by malware. Denying untrusted access to these fields prevents unauthorized collection of email addresses.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223370","Untrusted programs sending email via Response method must be denied","The Response method on task or meeting requests could be exploited to send unauthorized emails. Denying untrusted programs from using this method prevents email spoofing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223371","Untrusted programs sending email via Outlook object model must be denied","The Outlook object model allows programmatic sending of emails. Denying untrusted programs from sending email through Outlook prevents malware from using Outlook as a spam relay.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223372","Hyperlinks in suspected phishing messages must not be allowed","Hyperlinks in phishing messages can direct users to malicious websites. Disabling hyperlinks in suspected phishing messages prevents users from inadvertently visiting harmful sites.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223373","The Security Level for macros in Outlook must warn for signed and disable unsigned","Macro security in Outlook should warn users about signed macros while blocking unsigned ones entirely. This ensures only verified macros can execute with user consent.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
