"ControlId","Title","Description","Family","Notes"
"3.13.10","Establish and manage cryptographic keys","Establish and manage cryptographic keys for cryptography employed in organizational information systems","System and Communications Protection","CMMC Level 2; Derived"
"3.13.11","Employ FIPS-validated cryptography","Employ FIPS-validated cryptography when used to protect the confidentiality of CUI","System and Communications Protection","CMMC Level 2; Derived"
"3.13.12","Prohibit remote activation of collaborative devices","Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users","System and Communications Protection","CMMC Level 2; Derived"
"3.13.13","Control and monitor mobile code","Control and monitor the use of mobile code","System and Communications Protection","CMMC Level 2; Derived"
"3.13.14","Control and monitor VoIP","Control and monitor the use of Voice over Internet Protocol (VoIP) technologies","System and Communications Protection","CMMC Level 2; Derived"
"3.13.15","Protect authenticity of communications","Protect the authenticity of communications sessions","System and Communications Protection","CMMC Level 2; Derived"
"3.13.16","Protect CUI at rest","Protect the confidentiality of CUI at rest","System and Communications Protection","CMMC Level 2; Derived"
"3.14.1","Identify and manage flaws","Identify report and correct information and information system flaws in a timely manner","System and Information Integrity","CMMC Level 2; Basic"
"3.14.2","Provide protection from malicious code","Provide protection from malicious code at appropriate locations within organizational information systems","System and Information Integrity","CMMC Level 2; Basic"
"3.14.3","Monitor security alerts","Monitor information system security alerts and advisories and take appropriate actions","System and Information Integrity","CMMC Level 2; Derived"
"3.14.4","Update malicious code protection","Update malicious code protection mechanisms when new releases are available","System and Information Integrity","CMMC Level 2; Derived"
"3.14.5","Perform periodic scans","Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded opened or executed","System and Information Integrity","CMMC Level 2; Derived"
"3.14.6","Monitor system communications for attacks","Monitor organizational information systems including inbound and outbound communications traffic to detect attacks and indicators of potential attacks","System and Information Integrity","CMMC Level 2; Derived"
"3.14.7","Identify unauthorized use","Identify unauthorized use of organizational information systems","System and Information Integrity","CMMC Level 2; Derived"
